,variable,value,entry_pressure,basal_shear_stress,basal_melt_rate,fringe_heave_rate,fringe_growth_rate,fringe_thickness,fringe_sedflux,dispersed_layer_thickness,dispersed_layer_growth_rate,dispersed_sedflux
10,effective_pressure,500000.0,68000.0,232224.477825,1.39724479325e-09,-1.39724479325e-09,3.50172977879e-22,1.19738004616,96987.7837389,1.06268139514,3.38773320444e-10,7173.09941722
11,sliding_velocity_x,5.0,68000.0,41599.2836834,2.17420609851e-10,-2.17421097675e-10,4.28835388799e-15,1.21896690626,9873.63194074,0.481776108794,1.53593249784e-10,325.198873436
12,sliding_velocity_x,9.00824115327,68000.0,45896.1787882,2.38677034376e-10,-2.38677076435e-10,3.70216723785e-16,1.10845135383,16176.0193052,0.482098479315,1.53531876728e-10,586.286013775
13,sliding_velocity_x,16.2296817351,68000.0,50061.57427,2.79963287513e-10,-2.79963287695e-10,1.60147521838e-18,0.94174717596,24760.496244,0.482409257039,1.53412556112e-10,1056.96207555
14,sliding_velocity_x,29.2401773821,68000.0,53792.8856742,3.58640471285e-10,-3.58640471285e-10,1.72385627273e-22,0.730324599319,34594.8097456,0.482404250829,1.53184938325e-10,1904.25409166
15,sliding_velocity_x,52.6805138445,68000.0,56829.027905,5.05649330048e-10,-5.05649330048e-10,1.7491898935e-22,0.51158781404,43660.1484508,0.481609483766,1.52758825214e-10,3425.14373542
16,sliding_velocity_x,94.911754558,68000.0,59063.0538085,7.75897000882e-10,-7.75897000882e-10,7.91155517596e-23,0.325696807615,50078.1778528,0.479442764443,1.51972751587e-10,6143.14178776
17,sliding_velocity_x,170.997594668,68000.0,60565.3357316,1.267428734e-09,-1.267428734e-09,-2.33733319125e-23,0.190753909573,52841.904731,0.475036986752,1.50533903083e-10,10966.0745852
18,sliding_velocity_x,308.077513879,68000.0,61507.4132078,2.15644615388e-09,-2.15644615388e-09,-1.24884576139e-23,0.1028324041,51322.16927,0.466769964937,1.47901613131e-10,19413.1795974
19,sliding_velocity_x,555.047307785,68000.0,62070.3561222,3.7604425175e-09,-3.7604425175e-09,-3.8452815449e-23,0.0491709474855,44213.3672774,0.45147553975,1.43055379292e-10,33829.6881873
20,sliding_velocity_x,1000.0,68000.0,62396.5820594,6.65170401298e-09,-6.65170401298e-09,-4.26168242744e-23,0.0174605541681,28286.0977523,0.422920272854,1.34011823406e-10,57094.2368352
21,basal_shear_stress,50000.0,68000.0,50000.0,4.545606003e-10,-4.545606003e-10,1.64204726735e-22,0.571564902868,46296.7571323,0.481945575081,1.5290702797e-10,3253.1326318
22,basal_shear_stress,55555.5555556,68000.0,55555.5555556,4.83300616283e-10,-4.83300616283e-10,1.71897838221e-22,0.536264769779,43437.4463521,0.481761746454,1.52823672002e-10,3251.89178856
23,basal_shear_stress,61111.1111111,68000.0,61111.1111111,5.12040632266e-10,-5.12040632267e-10,1.70360905391e-22,0.504926718584,40899.0642053,0.481564659957,1.52740275807e-10,3250.56145471
24,basal_shear_stress,66666.6666667,68000.0,66666.6666667,5.4078064825e-10,-5.4078064825e-10,7.32785212021e-23,0.476919049699,38630.4430256,0.481357033596,1.52656839382e-10,3249.15997677
25,basal_shear_stress,72222.2222222,68000.0,72222.2222222,5.69520664233e-10,-5.69520664233e-10,7.89894116377e-23,0.451737574675,36590.7435487,0.481140917811,1.52573362727e-10,3247.70119523
26,basal_shear_stress,77777.7777778,68000.0,77777.7777778,5.98260680217e-10,-5.98260680217e-10,7.91356370425e-23,0.428974988476,34746.9740666,0.480917882945,1.52489845837e-10,3246.19570988
27,basal_shear_stress,83333.3333333,68000.0,83333.3333333,6.270006962e-10,-6.270006962e-10,8.30136099121e-23,0.408298665113,33072.1918742,0.480689148046,1.52406288711e-10,3244.65174931
28,basal_shear_stress,88888.8888889,68000.0,88888.8888889,6.55740712184e-10,-6.55740712184e-10,8.69063013321e-23,0.389434292356,31544.1776808,0.480455671085,1.52322691347e-10,3243.07577983
29,basal_shear_stress,94444.4444444,68000.0,94444.4444444,6.84480728167e-10,-6.84480728167e-10,8.51964820123e-23,0.372153629326,30144.4439754,0.480218213261,1.52239053744e-10,3241.47293951
30,basal_shear_stress,100000.0,68000.0,100000.0,7.13220744151e-10,-7.13220744151e-10,8.06665744718e-23,0.356265224018,28857.4831454,0.479977385551,1.52155375899e-10,3239.84735247
31,till_grain_radius,5e-05,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.71277483867e-22,0.517701930213,41933.8563473,0.479161036792,1.52009516184e-10,3234.33699834
32,till_grain_radius,0.0001,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,8.42236814435e-23,0.411832064334,33358.397211,0.457625454584,1.45206304546e-10,3088.97181844
33,till_grain_radius,0.00015,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,3.51563315702e-23,0.226718459235,18364.195198,0.420363350202,1.333093424e-10,2837.45261386
34,till_grain_radius,0.0002,68000.0,56591.9039003,4.88661856522e-10,-4.51811340474e-10,-0.000130926420915,1e-06,0.081,0.374703686035,1.18738404638e-10,2529.24988073
35,till_grain_radius,0.00025,68000.0,56591.9039003,4.88661856522e-10,-2.89159311278e-10,-0.000708813797306,1e-06,0.081,0.374703757577,1.18738427351e-10,2529.25036364
36,till_grain_radius,0.0003,68000.0,56591.9039003,4.88661856522e-10,-2.00805097411e-10,-0.00102272801711,1e-06,0.081,0.374703796502,1.18738439689e-10,2529.25062639
37,till_grain_radius,0.00035,68000.0,56591.9039003,4.88661856522e-10,-1.47530284568e-10,-0.00121200842126,1e-06,0.081,0.374703819975,1.18738447128e-10,2529.25078483
38,till_grain_radius,0.0004,68000.0,56591.9039003,4.88661856522e-10,-1.12952878555e-10,-0.00133485869581,1e-06,0.081,0.37470383521,1.18738451957e-10,2529.25088767
39,till_grain_radius,0.00045,68000.0,56591.9039003,4.88661856522e-10,-8.92467212592e-11,-0.00141908444517,1e-06,0.081,0.374703845656,1.18738455267e-10,2529.25095818
40,till_grain_radius,0.0005,68000.0,56591.9039003,4.88661856522e-10,-7.22898456111e-11,-0.00147933063102,1e-06,0.081,0.374703853128,1.18738457635e-10,2529.25100861
41,friction_angle,15.0,68000.0,24267.0806336,3.21438987799e-10,-3.21438987799e-10,2.74902630805e-21,0.817394846683,66208.9825813,0.482471771575,1.53292601997e-10,3256.68445813
42,friction_angle,17.7777777778,68000.0,29038.8122441,3.46124123495e-10,-3.46124123495e-10,1.72708869531e-22,0.75753008367,61359.9367773,0.482436768705,1.53221169024e-10,3256.44818876
43,friction_angle,20.5555555556,68000.0,33961.3588632,3.71589455827e-10,-3.71589455827e-10,1.69313579797e-22,0.70410743234,57032.7020195,0.482361987254,1.53147447258e-10,3255.94341397
44,friction_angle,23.3333333333,68000.0,39066.3494785,3.97998607965e-10,-3.97998607965e-10,1.74190600539e-22,0.65592523446,53129.9439913,0.482253204614,1.53070959798e-10,3255.20913115
45,friction_angle,26.1111111111,68000.0,44389.5949522,4.25536836765e-10,-4.25536836765e-10,1.7495343321e-22,0.612051887102,49576.2028552,0.482114029565,1.52991166083e-10,3254.26969956
46,friction_angle,28.8888888889,68000.0,49972.1930709,4.54416749414e-10,-4.54416749414e-10,1.75273111671e-22,0.571752817667,46311.978231,0.481946456171,1.52907445086e-10,3253.13857915
47,friction_angle,31.6666666667,68000.0,55861.9269245,4.8488553753e-10,-4.8488553753e-10,1.68218055013e-22,0.534439807251,43289.6243874,0.481751194653,1.52819074013e-10,3251.82056391
48,friction_angle,34.4444444444,68000.0,62115.0629236,5.17234278671e-10,-5.17234278671e-10,8.52086820771e-23,0.49963505061,40470.4390994,0.481527852456,1.52725200878e-10,3250.31300408
49,friction_angle,37.2222222222,68000.0,68798.698853,5.5181008329e-10,-5.5181008329e-10,7.98279292282e-23,0.466945163067,37822.5582084,0.481275004921,1.52624808655e-10,3248.60628321
50,friction_angle,40.0,68000.0,75993.8786328,5.89032208028e-10,-5.89032208028e-10,7.81581429651e-23,0.436042041157,35319.4053337,0.480990173681,1.5251666765e-10,3246.68367235
51,geothermal_heat_flux,0.02,68000.0,56591.9039003,3.58061552223e-10,-3.58061552223e-10,1.71004014744e-22,0.731540987367,59254.8199767,0.482405944642,1.53186614273e-10,3256.24012633
52,geothermal_heat_flux,0.0288888888889,68000.0,56591.9039003,3.87083842067e-10,-3.87083842067e-10,1.75449033422e-22,0.67504166266,54678.3746755,0.48230148304,1.53102575787e-10,3255.53501052
53,geothermal_heat_flux,0.0377777777778,68000.0,56591.9039003,4.16106131911e-10,-4.16106131911e-10,1.69327854804e-22,0.626422942153,50740.2583144,0.482164234873,1.53018496289e-10,3254.6085854
54,geothermal_heat_flux,0.0466666666667,68000.0,56591.9039003,4.45128421755e-10,-4.45128421755e-10,1.75631082745e-22,0.584143384034,47315.6141068,0.482002430312,1.52934375777e-10,3253.5164046
55,geothermal_heat_flux,0.0555555555556,68000.0,56591.9039003,4.741507116e-10,-4.741507116e-10,1.71797966612e-22,0.547038946927,44310.1547011,0.481821862726,1.52850214249e-10,3252.2975734
56,geothermal_heat_flux,0.0644444444444,68000.0,56591.9039003,5.03173001444e-10,-5.03173001444e-10,1.7304068888e-22,0.514214150339,41651.3461774,0.48162670587,1.527660117e-10,3250.98026462
57,geothermal_heat_flux,0.0733333333333,68000.0,56591.9039003,5.32195291288e-10,-5.32195291288e-10,8.34360212731e-23,0.484968847295,39282.4766309,0.481420028304,1.5268176813e-10,3249.58519105
58,geothermal_heat_flux,0.0822222222222,68000.0,56591.9039003,5.61217581132e-10,-5.61217581132e-10,7.98761063734e-23,0.45874771785,37158.5651459,0.481204126815,1.52597483534e-10,3248.127856
59,geothermal_heat_flux,0.0911111111111,68000.0,56591.9039003,5.90239870976e-10,-5.90239870976e-10,8.09558010517e-23,0.435104663123,35243.4777129,0.480980748105,1.52513157911e-10,3246.62004971
60,geothermal_heat_flux,0.1,68000.0,56591.9039003,6.1926216082e-10,-6.1926216082e-10,8.67011586919e-23,0.413677211567,33507.8541369,0.480751239598,1.52428791258e-10,3245.07086728
61,pore_throat_radius,1e-06,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.7380543e-22,0.53013925113,42941.2793415,0.481725894851,1.52808118102e-10,3251.64979025
