,variable,value,entry_pressure,basal_shear_stress,basal_melt_rate,fringe_heave_rate,fringe_growth_rate,fringe_thickness,fringe_sedflux,dispersed_layer_thickness,dispersed_layer_growth_rate,dispersed_sedflux
0,default,0.0,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.7380543e-22,0.53013925113,42941.2793415,0.481725894851,1.52808118102e-10,3251.64979025
1,effective_pressure,50000.0,68000.0,29463.5769103,3.48321517288e-10,6.24992899534e-09,-0.0328882360948,1e-06,0.081,0.374698849335,1.18736872007e-10,2529.21723301
2,effective_pressure,56441.8945842,68000.0,33045.9409272,3.66853813127e-10,4.01318919866e-09,-0.0207289561488,1e-06,0.081,0.374698857027,1.18736874445e-10,2529.21728493
3,effective_pressure,63713.7492852,68000.0,37042.0390192,3.87526439273e-10,1.48827255585e-09,-0.00840382630394,1e-06,0.081,0.374698865608,1.18736877164e-10,2529.21734286
4,effective_pressure,71922.4944144,68000.0,41495.636448,4.10565802305e-10,-4.10565802305e-10,4.56979772127e-23,0.0591875447639,4794.19112587,0.384789385705,1.21932800638e-10,2597.32835351
5,effective_pressure,81188.8369594,68000.0,46454.5743013,4.36219393875e-10,-4.36219393875e-10,9.78442234445e-24,0.238293465085,19301.7706719,0.417818180393,1.32408047166e-10,2820.27271765
6,effective_pressure,91649.0355416,68000.0,51971.1246929,4.64757628232e-10,-4.64757628232e-10,7.70629877854e-23,0.408439561481,33083.6044799,0.453277561997,1.43702571087e-10,3059.62354348
7,effective_pressure,103456.904056,68000.0,58102.3903834,4.96475909542e-10,-4.96475909542e-10,1.74939043932e-22,0.56621876513,45863.7199755,0.490763002152,1.55708800186e-10,3312.65026452
8,effective_pressure,116786.073455,68000.0,64910.7566706,5.31696969607e-10,-5.31696969607e-10,1.74400723592e-22,0.708838440571,57415.9136863,0.529881425673,1.68304854833e-10,3576.69962329
9,effective_pressure,131832.544937,68000.0,72464.4037919,5.70773518627e-10,-5.70773518627e-10,1.72140464312e-22,0.834352196769,67582.5279383,0.570294118908,1.81369857301e-10,3849.48530263
